2631, 22, 0.003153, 9.77497, 12
3276, 23, 0.001331, 10.5943, 15
145, 17, 6.5e-05, 9.95062, 13
2720, 25, 0.001148, 11.7755, 17
165, 16, 8.1e-05, 7.09677, 10
1734, 22, 0.00083, 9.23979, 12
1741, 22, 0.000809, 10.4312, 14
439, 21, 0.000241, 10.7479, 11
464, 17, 0.000252, 7.5844, 7
611, 21, 0.000324, 11.494, 13
724, 23, 0.00043, 11.7103, 15
1659, 23, 0.000961, 10.9092, 11
372, 19, 0.000266, 9.04984, 13
1420, 22, 0.000969, 9.65021, 14
465, 19, 0.000388, 8.18813, 13
2130, 22, 0.001982, 9.6343, 10
794, 20, 0.000762, 9.22578, 10
71, 21, 8.1e-05, 12.8624, 19
456, 22, 0.000452, 11.5224, 18
368, 22, 0.000361, 10.8775, 16
27, 16, 4.1e-05, 9.42857, 14
76, 16, 8.8e-05, 8.51639, 10
2805, 25, 0.002604, 11.1237, 15
805, 22, 0.000776, 10.1979, 14
1666, 23, 0.001558, 10.2797, 13
2470, 25, 0.002871, 10.3386, 15
1294, 21, 0.001513, 9.67426, 15
100, 13, 0.000146, 6.92655, 7
1609, 23, 0.00187, 11.2581, 13
225, 24, 0.000281, 13.9746, 16
1820, 24, 0.002122, 11.518, 14
129, 16, 0.000173, 9.44651, 12
37, 18, 6.3e-05, 10.0508, 16
1500, 23, 0.001763, 10.925, 13
4075, 26, 0.004637, 11.3632, 14
5873, 27, 0.006695, 12.1105, 17
487, 22, 0.000585, 11.7009, 14
5296, 26, 0.006129, 11.0939, 14
2349, 22, 0.002716, 9.76751, 12
5296, 25, 0.004848, 10.856, 13
125, 14, 0.000103, 7.92019, 8
3436, 25, 0.002358, 11.4408, 19
1193, 21, 0.00085, 9.66733, 11
9239, 26, 0.006355, 10.2424, 16
2256, 24, 0.001577, 10.429, 14
626, 24, 0.000443, 13.1367, 20
92, 18, 7.7e-05, 10.0403, 14
1145, 23, 0.000801, 11.0324, 15
1201, 21, 0.000855, 10.7242, 11
5557, 28, 0.003847, 12.3987, 16
730, 20, 0.000522, 9.96364, 12
9355, 27, 0.00642, 10.6335, 15
661, 19, 0.000478, 8.77668, 11
2195, 26, 0.001523, 12.0853, 16
257, 18, 0.000196, 9.28103, 12
2440, 24, 0.001704, 10.6625, 16
339, 18, 0.000254, 8.48955, 8
2316, 24, 0.001608, 10.8741, 12
272, 23, 0.000201, 13.1748, 17
3401, 24, 0.002372, 10.8254, 16
9544, 27, 0.006558, 11.4995, 19
8845, 25, 0.006116, 9.66801, 13
360, 21, 0.000266, 10.3406, 15
103, 22, 8.5e-05, 13.3125, 18
11359, 28, 0.007761, 11.5501, 14
406, 20, 0.000302, 9.65875, 16
8302, 27, 0.005681, 11.2233, 17
6762, 27, 0.004626, 11.8568, 15
2421, 25, 0.001671, 11.3534, 19
3944, 24, 0.002726, 9.62323, 10
899, 24, 0.000631, 11.5017, 16
868, 22, 0.00062, 10.4893, 16
14476, 27, 0.009966, 10.9017, 15
3141, 26, 0.002173, 11.7179, 18
8979, 25, 0.00547, 9.91441, 11
1631, 26, 0.000805, 11.5896, 20
413, 20, 0.000214, 9.48012, 14
8936, 26, 0.003831, 10.4408, 16
166, 16, 7.5e-05, 8.79371, 10
7986, 27, 0.00313, 11.3515, 17
490, 19, 0.000203, 8.27494, 11
324, 25, 0.000129, 14.1297, 21
56, 15, 4.9e-05, 7.91011, 11
83, 17, 3.9e-05, 9.68148, 13
186, 15, 8.8e-05, 7.26198, 7
2713, 25, 0.001063, 11.4693, 17
206, 17, 9.7e-05, 9.24069, 11
5691, 27, 0.00227, 11.7926, 17
1408, 20, 0.00057, 8.11884, 8
573, 20, 0.00024, 9.41962, 12
2764, 27, 0.00109, 11.3216, 21
2791, 26, 0.001094, 10.9685, 18
2006, 22, 0.000803, 9.71186, 12
1238, 22, 0.0005, 10.9558, 14
1016, 22, 0.000409, 10.9727, 12
244, 19, 0.000108, 9.90074, 17
722, 20, 0.000299, 9.40443, 8
2213, 21, 0.000944, 8.08958, 9
2265, 24, 0.001072, 11.2732, 14
3613, 25, 0.001429, 10.6734, 13
